trueMean,trueVar,meanExpectation,varExpectation,meanSD,varSD,meanAbsError,varAbsError,meanPercentError,varPercentError,combinedPercentError
5.000000000000000000e+00,1.000000000000000000e+00,5.172413821247535459e+00,1.000005267018653221e+00,2.697373825819918396e-04,2.295014155978783877e-03,1.724138212475354592e-01,5.267018653221100521e-06,3.448276424950709185e+00,5.267018653221100521e-04,1.724401563408015647e+00
5.000000000000000000e+00,2.000000000000000000e+00,5.172413858048814816e+00,2.097637417730367382e+00,4.098430708377901279e-04,3.150101982711036586e-01,1.724138580488148165e-01,9.763741773036738181e-02,3.448277160976296329e+00,4.881870886518369090e+00,4.165074023747332710e+00
5.000000000000000000e+00,3.000000000000000000e+00,5.172413793087156542e+00,3.630923386506403006e+00,1.935304055494938243e-08,9.039801798347659734e-01,1.724137930871565416e-01,6.309233865064030056e-01,3.448275861743130832e+00,2.103077955021343470e+01,1.223952770597828277e+01
5.000000000000000000e+00,4.000000000000000000e+00,5.172413793097939916e+00,4.351384428079983380e+00,1.169314439805286375e-08,9.673800477078859927e-01,1.724137930979399158e-01,3.513844280799833797e-01,3.448275861958798316e+00,8.784610701999584492e+00,6.116443281979191404e+00
5.000000000000000000e+00,5.000000000000000000e+00,5.172413793108824542e+00,5.225742707320966574e+00,3.195279825170672807e-07,8.066286092085541704e-01,1.724137931088245423e-01,2.257427073209665735e-01,3.448275862176490847e+00,4.514854146419331471e+00,3.981565004297911159e+00
5.000000000000000000e+00,6.000000000000000000e+00,5.172413793115852698e+00,4.523475448246816022e+00,1.541209226130332357e-08,9.613570582825403665e-01,1.724137931158526982e-01,1.476524551753183978e+00,3.448275862317053964e+00,2.460874252921973593e+01,1.402850919576839495e+01
1.800000000000000000e+01,1.000000000000000000e+00,1.835286280699057571e+01,9.999999999979466425e-01,8.070761826811642115e-01,2.087781519974848819e-07,3.528628069905757059e-01,2.053357484044227022e-12,1.960348927725420687e+00,2.053357484044227022e-10,9.801744639653782176e-01
1.800000000000000000e+01,2.000000000000000000e+00,1.816188905042934820e+01,2.000022419811284369e+00,3.857877790692681996e-01,4.737031872369402465e-03,1.618890504293482024e-01,2.241981128436876247e-05,8.993836134963788531e-01,1.120990564218438124e-03,4.502523020302986456e-01
1.800000000000000000e+01,3.000000000000000000e+00,1.810661873281865297e+01,2.930330953040634956e+00,9.703892695428281701e-02,2.589421872019012083e-01,1.066187328186529726e-01,6.966904695936504410e-02,5.923262934369609711e-01,2.322301565312168137e+00,1.457313929374564498e+00
1.800000000000000000e+01,4.000000000000000000e+00,1.810341937526303724e+01,4.341606356347122997e+00,2.046680028892198383e-02,5.259850439855005000e-01,1.034193752630372387e-01,3.416063563471229969e-01,5.745520847946513632e-01,8.540158908678074923e+00,4.557355496736363420e+00
1.800000000000000000e+01,5.000000000000000000e+00,1.810324332876802700e+01,5.097157685725806964e+00,2.360562480137205071e-02,5.893679291826753319e-01,1.032433287680269984e-01,9.715768572580696372e-02,5.735740487112610531e-01,1.943153714516139274e+00,1.258363881613700164e+00
1.800000000000000000e+01,6.000000000000000000e+00,1.758673134436943641e+01,5.186251716629479702e+00,1.034089228696950524e+00,5.788413215426857494e-01,4.132686556305635861e-01,8.137482833705202978e-01,2.295936975725353157e+00,1.356247138950867281e+01,7.929204182617013430e+00
3.100000000000000000e+01,1.000000000000000000e+00,3.133258142150975090e+01,1.000000000001258105e+00,1.679820812082003734e+00,1.760526430432841088e-11,3.325814215097508963e-01,1.258104731505227392e-12,1.072843295192744906e+00,1.258104731505227392e-10,5.364216476592776894e-01
3.100000000000000000e+01,2.000000000000000000e+00,3.162675051420843886e+01,2.000000023085992229e+00,1.190325650878888863e+00,1.546989353362106798e-04,6.267505142084388581e-01,2.308599222899943015e-08,2.021775852285286668e+00,1.154299611449971508e-06,1.010888503292449059e+00
3.100000000000000000e+01,3.000000000000000000e+00,3.113328034019065171e+01,2.668013442388683654e+00,8.133588224646585152e-01,4.709296200070117178e-01,1.332803401906517138e-01,3.319865576113163463e-01,4.299365812601668169e-01,1.106621858704387762e+01,5.748077584152022190e+00
3.100000000000000000e+01,4.000000000000000000e+00,3.123658506494667009e+01,4.038776270200994389e+00,7.102803965526647278e-01,2.430480282319636143e-01,2.365850649466700872e-01,3.877627020099438937e-02,7.631776288602261094e-01,9.694067550248597342e-01,8.662921919425429218e-01
3.100000000000000000e+01,5.000000000000000000e+00,3.047440238000571355e+01,5.278058643535936234e+00,1.066042848054027603e+00,4.977090667989181316e-01,5.255976199942864469e-01,2.780586435359362341e-01,1.695476193529956266e+00,5.561172870718724681e+00,3.628324532124340251e+00
3.100000000000000000e+01,6.000000000000000000e+00,3.118988567148907620e+01,5.653676120237472347e+00,6.165025916396080774e-01,4.799134382011301381e-01,1.898856714890762021e-01,3.463238797625276533e-01,6.125344241583102756e-01,5.772064662708793925e+00,3.192299543433552156e+00
4.400000000000000000e+01,1.000000000000000000e+00,4.605930671493431561e+01,1.000000000000559552e+00,2.517057647168875256e+00,3.059405311004299627e-08,2.059306714934315607e+00,5.595524044110788964e-13,4.680242533941626704e+00,5.595524044110788964e-11,2.340121266998790972e+00
4.400000000000000000e+01,2.000000000000000000e+00,4.074078098224119060e+01,2.000000566573580052e+00,1.559347819758885256e+00,7.527098340682662281e-04,3.259219017758809400e+00,5.665735800519655641e-07,7.407315949451839465e+00,2.832867900259827820e-05,3.703672139065421032e+00
4.400000000000000000e+01,3.000000000000000000e+00,4.381217355719474682e+01,3.019516219658091583e+00,1.318682482968522862e+00,1.383509754472776743e-01,1.878264428052531798e-01,1.951621965809158255e-02,4.268782791028481460e-01,6.505406552697193812e-01,5.387094671862837636e-01
4.400000000000000000e+01,4.000000000000000000e+00,4.210554334537543753e+01,4.033380015909623140e+00,1.212366212114609265e+00,2.048021325930380609e-01,1.894456654624562475e+00,3.338001590962313969e-02,4.305583305964915120e+00,8.345003977405784923e-01,2.570041851852746806e+00
4.400000000000000000e+01,5.000000000000000000e+00,4.497453058842987872e+01,5.318637217532454997e+00,1.281666216911553802e+00,4.814332034776761526e-01,9.745305884298787191e-01,3.186372175324549971e-01,2.214842246431542705e+00,6.372744350649099943e+00,4.293793298540321324e+00
4.400000000000000000e+01,6.000000000000000000e+00,4.342639557461009758e+01,5.697842078970341007e+00,1.092508513822213478e+00,4.605589321231025601e-01,5.736044253899024170e-01,3.021579210296589935e-01,1.303646421340687311e+00,5.035965350494316262e+00,3.169805885917501787e+00
5.700000000000000000e+01,1.000000000000000000e+00,5.498596294438846854e+01,1.000000000000125233e+00,3.129688064539526859e+00,7.109642243710570843e-09,2.014037055611531457e+00,1.252331571777176578e-13,3.533398343178125511e+00,1.252331571777176578e-11,1.766699171595324414e+00
5.700000000000000000e+01,2.000000000000000000e+00,5.712793954131252860e+01,2.000041461892266614e+00,2.220504060881519415e+00,6.438957629560327842e-03,1.279395413125286041e-01,4.146189226661434191e-05,2.244553356360151075e-01,2.073094613330717095e-03,1.132642151246729123e-01
5.700000000000000000e+01,3.000000000000000000e+00,5.541585921153269112e+01,2.997523852969540936e+00,1.752289765059365179e+00,5.098047078935618454e-02,1.584140788467308880e+00,2.476147030459063814e-03,2.779194365732120975e+00,8.253823434863545583e-02,1.430866300040378292e+00
5.700000000000000000e+01,4.000000000000000000e+00,5.868390732084509409e+01,4.010697519177545800e+00,1.622464380433060516e+00,1.823093716190925251e-01,1.683907320845094091e+00,1.069751917754580006e-02,2.954223369903673735e+00,2.674379794386450016e-01,1.610830674671159368e+00
5.700000000000000000e+01,5.000000000000000000e+00,5.530647038993884479e+01,4.630430211965254728e+00,1.444392755157505537e+00,4.969917481699122619e-01,1.693529610061155211e+00,3.695697880347452724e-01,2.971104579054658412e+00,7.391395760694905448e+00,5.181250169874782152e+00
5.700000000000000000e+01,6.000000000000000000e+00,5.722416108389314360e+01,5.800212236979273683e+00,1.253116692394949272e+00,4.003087532096855639e-01,2.241610838931435978e-01,1.997877630207263167e-01,3.932650594616554085e-01,3.329796050345438463e+00,1.861530554903547019e+00
7.000000000000000000e+01,1.000000000000000000e+00,6.826855480018333822e+01,9.999999999999360512e-01,3.697712175753423036e+00,1.409628788883504374e-08,1.731445199816661784e+00,6.394884621840901673e-14,2.473493142595231120e+00,6.394884621840901673e-12,1.236746571300813002e+00
7.000000000000000000e+01,2.000000000000000000e+00,6.911191634931785188e+01,2.000000071817757075e+00,2.710758544800680347e+00,2.700998889096563218e-04,8.880836506821481180e-01,7.181775707465476444e-08,1.268690929545925883e+00,3.590887853732738222e-06,6.343472602168898078e-01
7.000000000000000000e+01,3.000000000000000000e+00,6.943433974604961634e+01,2.962461407695382576e+00,2.311989196705070082e+00,1.902119562855832946e-01,5.656602539503836624e-01,3.753859230461742413e-02,8.080860770719766606e-01,1.251286410153914064e+00,1.029686243612945251e+00
7.000000000000000000e+01,4.000000000000000000e+00,6.913757310792018984e+01,3.908846720536165442e+00,2.032389251804837205e+00,3.029819692139333331e-01,8.624268920798101590e-01,9.115327946383455782e-02,1.232038417256871687e+00,2.278831986595863945e+00,1.755435201926367927e+00
7.000000000000000000e+01,5.000000000000000000e+00,7.048844590305627378e+01,4.793439531281726396e+00,1.846228138496376348e+00,4.716131338578914978e-01,4.884459030562737780e-01,2.065604687182736043e-01,6.977798615089625400e-01,4.131209374365472087e+00,2.414494617937217313e+00
7.000000000000000000e+01,6.000000000000000000e+00,7.188543554427707249e+01,5.731581259027674236e+00,1.695328094626492366e+00,4.447689897843811746e-01,1.885435544277072495e+00,2.684187409723257645e-01,2.693479348967246612e+00,4.473645682872096074e+00,3.583562515919671121e+00
